#X,A001->Z_Acceleration(abs)
#Time(sec),Acceleration(mm/sec^2)_Real
8.900000E-01,-66596.866629
9.000000E-01,5801.663479
9.100000E-01,73062.602169
9.200000E-01,-33530.471900
9.300000E-01,-76580.363226
9.400000E-01,-106755.378489
9.500000E-01,-29103.617429
9.600000E-01,348641.447338
9.700000E-01,-11085.051361
9.800000E-01,-96758.757211
9.900000E-01,-66596.866629
1.000000E+00,5801.663479
1.010000E+00,73062.602169
1.020000E+00,-33530.471900
1.030000E+00,-76580.363226
1.040000E+00,-106755.378489
1.050000E+00,-29103.617429
1.060000E+00,348641.447338
1.070000E+00,-11085.051361
1.080000E+00,-96758.757211
1.090000E+00,-66596.866629
1.100000E+00,5801.663479
1.110000E+00,73062.602169
1.120000E+00,-33530.471900
1.130000E+00,-76580.363226
1.140000E+00,-106755.378489
1.150000E+00,-29103.617429
1.160000E+00,348641.447338
1.170000E+00,-11085.051361
1.180000E+00,-96758.757211
1.190000E+00,-66596.866629
1.200000E+00,5801.663479
1.210000E+00,73062.602169
1.220000E+00,-33530.471900
1.230000E+00,-76580.363226
1.240000E+00,-106755.378489
1.250000E+00,-29103.617429
1.260000E+00,348641.447338
1.270000E+00,-11085.051361
1.280000E+00,-96758.757211
1.290000E+00,-66596.866629
1.300000E+00,5801.663479
1.310000E+00,73062.602169
1.320000E+00,-33530.471900
1.330000E+00,-76580.363226
1.340000E+00,-106755.378489
1.350000E+00,-29103.617429
1.360000E+00,348641.447338
1.370000E+00,-11085.051361
1.380000E+00,-96758.757211
1.390000E+00,-66596.866629
1.400000E+00,5801.663479
1.410000E+00,73062.602169
1.420000E+00,-33530.471900
1.430000E+00,-76580.363226
1.440000E+00,-106755.378489
1.450000E+00,-29103.617429
1.460000E+00,348641.447338
1.470000E+00,-11085.051361
1.480000E+00,-96758.757211
1.490000E+00,-66596.866629
1.500000E+00,5801.663479
1.510000E+00,73062.602169
1.520000E+00,-33530.471900
1.530000E+00,-76580.363226
1.540000E+00,-106755.378489
1.550000E+00,-29103.617429
1.560000E+00,348641.447338
1.570000E+00,-11085.051361
1.580000E+00,-96758.757211
1.590000E+00,-66596.866629
1.600000E+00,5801.663479
1.610000E+00,73062.602169
1.620000E+00,-33530.471900
1.630000E+00,-76580.363226
1.640000E+00,-106755.378489
1.650000E+00,-29103.617429
1.660000E+00,348641.447338
1.670000E+00,-11085.051361
1.680000E+00,-96758.757211
1.690000E+00,-66596.866629
1.700000E+00,5801.663479
1.710000E+00,73062.602169
1.720000E+00,-33530.471900
1.730000E+00,-76580.363226
1.740000E+00,-106755.378489
1.750000E+00,-29103.617429
1.760000E+00,348641.447338
1.770000E+00,-11085.051361
1.780000E+00,-96758.757211
1.790000E+00,-66596.866629
1.800000E+00,5801.663479
1.810000E+00,73062.602169
1.820000E+00,-33530.471900
1.830000E+00,-76580.363226
1.840000E+00,-106755.378489
1.850000E+00,-29103.617429
1.860000E+00,348641.447338
1.870000E+00,-11085.051361
1.880000E+00,-96758.757211
1.890000E+00,-66596.866629
1.900000E+00,5801.663479
1.910000E+00,73062.602169
1.920000E+00,-33530.471900
1.930000E+00,-76580.363226
1.940000E+00,-106755.378489
1.950000E+00,-29103.617429
1.960000E+00,348641.447338
1.970000E+00,-11085.051361
1.980000E+00,-96758.757211
1.990000E+00,-66596.866629
2.000000E+00,5801.663479


