#X,A001->Z_Acceleration(abs)
#Time(sec),Acceleration(mm/sec^2)_Real
0.000000E+00,5802.234735
1.000000E-02,73062.544464
2.000000E-02,-33530.471900
3.000000E-02,-76580.363226
4.000000E-02,-106755.378489
5.000000E-02,-29103.617429
6.000000E-02,348641.447338
7.000000E-02,-11085.051361
8.000000E-02,-96758.757211
9.000000E-02,-66596.866629
1.000000E-01,5801.663479
1.100000E-01,73062.602169
1.200000E-01,-33530.471900
1.300000E-01,-76580.363226
1.400000E-01,-106755.378489
1.500000E-01,-29103.617429
1.600000E-01,348641.447338
1.700000E-01,-11085.051361
1.800000E-01,-96758.757211
1.900000E-01,-66596.866629
2.000000E-01,5801.663479
2.100000E-01,73062.602169
2.200000E-01,-33530.471900
2.300000E-01,-76580.363226
2.400000E-01,-106755.378489
2.500000E-01,-29103.617429
2.600000E-01,348641.447338
2.700000E-01,-11085.051361
2.800000E-01,-96758.757211
2.900000E-01,-66596.866629
3.000000E-01,5801.663479
3.100000E-01,73062.602169
3.200000E-01,-33530.471900
3.300000E-01,-76580.363226
3.400000E-01,-106755.378489
3.500000E-01,-29103.617429
3.600000E-01,348641.447338
3.700000E-01,-11085.051361
3.800000E-01,-96758.757211
3.900000E-01,-66596.866629
4.000000E-01,5801.663479
4.100000E-01,73062.602169
4.200000E-01,-33530.471900
4.300000E-01,-76580.363226
4.400000E-01,-106755.378489
4.500000E-01,-29103.617429
4.600000E-01,348641.447338
4.700000E-01,-11085.051361
4.800000E-01,-96758.757211
4.900000E-01,-66596.866629
5.000000E-01,5801.663479
5.100000E-01,73062.602169
5.200000E-01,-33530.471900
5.300000E-01,-76580.363226
5.400000E-01,-106755.378489
5.500000E-01,-29103.617429
5.600000E-01,348641.447338
5.700000E-01,-11085.051361
5.800000E-01,-96758.757211
5.900000E-01,-66596.866629
6.000000E-01,5801.663479
6.100000E-01,73062.602169
6.200000E-01,-33530.471900
6.300000E-01,-76580.363226
6.400000E-01,-106755.378489
6.500000E-01,-29103.617429
6.600000E-01,348641.447338
6.700000E-01,-11085.051361
6.800000E-01,-96758.757211
6.900000E-01,-66596.866629
7.000000E-01,5801.663479
7.100000E-01,73062.602169
7.200000E-01,-33530.471900
7.300000E-01,-76580.363226
7.400000E-01,-106755.378489
7.500000E-01,-29103.617429
7.600000E-01,348641.447338
7.700000E-01,-11085.051361
7.800000E-01,-96758.757211
7.900000E-01,-66596.866629
8.000000E-01,5801.663479
8.100000E-01,73062.602169
8.200000E-01,-33530.471900
8.300000E-01,-76580.363226
8.400000E-01,-106755.378489
8.500000E-01,-29103.617429
8.600000E-01,348641.447338
8.700000E-01,-11085.051361
8.800000E-01,-96758.757211
